transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1474,2,59.41192,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:11:34+03,2026-05-23
2,8,1476,61,59.43714,24.73355,22,,Z,Äigrumäe,2026-05-23 07:11:34+03,2026-05-23
2,8,1710,18,59.43005,24.70704,240,,Z,Väike-Õismäe,2026-05-23 07:11:34+03,2026-05-23
2,8,3393,91,59.41583,24.63968,359,,Z,Äigrumäe,2026-05-23 07:11:34+03,2026-05-23
2,8,1186,49,59.48059,24.85571,52,,Z,Äigrumäe,2026-05-23 07:12:04+03,2026-05-23
2,8,1236,34,59.46637,24.83275,241,,Z,Väike-Õismäe,2026-05-23 07:12:04+03,2026-05-23
2,8,1474,2,59.41192,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:12:04+03,2026-05-23
2,8,1476,61,59.43915,24.73625,50,,Z,Äigrumäe,2026-05-23 07:12:04+03,2026-05-23
2,8,1710,18,59.42986,24.7064,239,,Z,Väike-Õismäe,2026-05-23 07:12:04+03,2026-05-23
2,8,3393,91,59.41852,24.64186,37,,Z,Äigrumäe,2026-05-23 07:12:04+03,2026-05-23
2,8,1186,49,59.48267,24.85897,23,,Z,Äigrumäe,2026-05-23 07:12:34+03,2026-05-23
2,8,1236,34,59.4647,24.82945,225,,Z,Väike-Õismäe,2026-05-23 07:12:34+03,2026-05-23
2,8,1474,2,59.41193,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:12:34+03,2026-05-23
2,8,1476,61,59.43963,24.73804,64,,Z,Äigrumäe,2026-05-23 07:12:34+03,2026-05-23
2,8,1710,18,59.42949,24.70529,233,,Z,Väike-Õismäe,2026-05-23 07:12:34+03,2026-05-23
2,8,3393,91,59.41957,24.64556,75,,Z,Äigrumäe,2026-05-23 07:12:34+03,2026-05-23
2,8,1186,49,59.48488,24.86228,47,,Z,Äigrumäe,2026-05-23 07:13:04+03,2026-05-23
2,8,1236,34,59.46359,24.82713,228,,Z,Väike-Õismäe,2026-05-23 07:13:04+03,2026-05-23
2,8,1474,2,59.41193,24.63539,117,,Z,Väike-Õismäe,2026-05-23 07:13:04+03,2026-05-23
2,8,1476,61,59.4398,24.7384,64,,Z,Äigrumäe,2026-05-23 07:13:04+03,2026-05-23
2,8,1710,18,59.42949,24.70529,233,,Z,Väike-Õismäe,2026-05-23 07:13:04+03,2026-05-23
