stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
1090,07502-1,Auru,,59.41277,24.75256,,,,1090,2026-05-23,gtfs
1091,07503-1,Luite,,59.41488,24.75519,,,,1091,2026-05-23,gtfs
136269,10508-1,Kanuti,,59.44096,24.7534,,,,4590,2026-05-23,gtfs
1293,12103-1,Mere puiestee,,59.43766,24.7532,,,,1293,2026-05-23,gtfs
1294,12104-1,Mere puiestee,,59.43756,24.75337,,,,1294,2026-05-23,gtfs
1303,12209-1,Mere puiestee,,59.43834,24.75407,,,,1303,2026-05-23,gtfs
1304,12210-1,Mere puiestee,,59.43782,24.75364,,,,1304,2026-05-23,gtfs
1230,10702-1,F. R. Kreutzwaldi,,59.43833,24.76978,,,,1230,2026-05-23,gtfs
1231,10702-2,F. R. Kreutzwaldi,,59.43841,24.77032,,,,1231,2026-05-23,gtfs
3402,12211-2,Hobujaama,,59.43711,24.75866,,,,3402,2026-05-23,gtfs
3604,12223-1,Hobujaama,,59.43726,24.75833,,,,3604,2026-05-23,gtfs
3605,12222-1,Hobujaama,,59.43723,24.75838,,,,3605,2026-05-23,gtfs
3606,12221-1,Hobujaama,,59.4374,24.75819,,,,3606,2026-05-23,gtfs
1273,11802-1,J. Poska,,59.44101,24.78641,,,,1273,2026-05-23,gtfs
1274,11803-2,J. Poska,,59.44098,24.78701,,,,1274,2026-05-23,gtfs
1275,11803-1,J. Poska,,59.44083,24.78666,,,,1275,2026-05-23,gtfs
1278,11903-2,L. Koidula,,59.43906,24.77711,,,,1278,2026-05-23,gtfs
1279,11903-1,L. Koidula,,59.43899,24.77643,,,,1279,2026-05-23,gtfs
1513,17801-1,Lasnamägi,,59.44439,24.8133,,,,1513,2026-05-23,gtfs
1339,12801-1,Oru,,59.4436,24.80018,,,,1339,2026-05-23,gtfs
1340,12802-1,Oru,,59.44336,24.8024,,,,1340,2026-05-23,gtfs
132664,12803-1,Oruvärava,,59.44326,24.80567,,,,4077,2026-05-23,gtfs
1306,12212-1,Pronksi,,59.43746,24.76375,,,,1306,2026-05-23,gtfs
1308,12214-1,Pronksi,,59.43712,24.76218,,,,1308,2026-05-23,gtfs
147022,11804-1,Reidi tee,,59.44205,24.78883,,,,6155,2026-05-23,gtfs
147023,11805-1,Reidi tee,,59.44232,24.79074,,,,6156,2026-05-23,gtfs
1232,10703-1,Tallinna Ülikool,,59.43854,24.77137,,,,1232,2026-05-23,gtfs
1233,10704-1,Tallinna Ülikool,,59.43837,24.77133,,,,1233,2026-05-23,gtfs
1262,11602-1,Bussijaam,,59.42785,24.77481,,,,1262,2026-05-23,gtfs
1236,10901-1,Hotell Tallinn,,59.43495,24.73149,,,,1236,2026-05-23,gtfs
1237,11001-1,Tehnika,,59.43457,24.72599,,,,1237,2026-05-23,gtfs
1082,07404-1,Hallivanamehe,,59.40609,24.73294,,,,1082,2026-05-23,gtfs
1083,07405-1,Hallivanamehe,,59.40561,24.73194,,,,1083,2026-05-23,gtfs
1079,07401-1,Kalev,,59.40967,24.73673,,,,1079,2026-05-23,gtfs
1080,07402-1,Kalev,,59.40982,24.73621,,,,1080,2026-05-23,gtfs
1081,07403-1,Kalev,,59.40923,24.73562,,,,1081,2026-05-23,gtfs
1329,12601-1,Kosmos,,59.42904,24.74354,,,,1329,2026-05-23,gtfs
1330,12602-1,Kosmos,,59.42889,24.74334,,,,1330,2026-05-23,gtfs
1331,12603-1,Kosmos,,59.42823,24.74232,,,,1331,2026-05-23,gtfs
1332,12604-1,Kosmos,,59.42902,24.74296,,,,1332,2026-05-23,gtfs
1076,07301-1,Tallinn-Väike,,59.41496,24.73996,,,,1076,2026-05-23,gtfs
1086,07407-1,Tallinn-Väike,,59.41444,24.73946,,,,1086,2026-05-23,gtfs
1087,07408-1,Tallinn-Väike,,59.41541,24.73946,,,,1087,2026-05-23,gtfs
1286,12004-1,Vabaduse väljak,,59.43388,24.74661,,,,1286,2026-05-23,gtfs
